source_file,example_id,domain,layer,hook,control,alpha,gold_answer,baseline_gold_logit,steered_gold_logit,delta_gold_logit,baseline_gold_rank,steered_gold_rank,delta_gold_rank,baseline_top1,steered_top1,helped_hurt_label
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_043,geography,32,resid_post,none,0.75,South America,17.609375,18.359375,0.75,2,3,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_043,geography,32,resid_post,none,1.0,South America,17.609375,17.71875,0.109375,2,3,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_045,geography,32,resid_post,none,0.0,Asia,19.546875,19.546875,0.0,1,1,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_045,geography,32,resid_post,none,0.25,Asia,19.546875,19.9375,0.390625,1,1,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_045,geography,32,resid_post,none,0.5,Asia,19.546875,20.09375,0.546875,1,1,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_045,geography,32,resid_post,none,0.75,Asia,19.546875,19.96875,0.421875,1,1,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_045,geography,32,resid_post,none,1.0,Asia,19.546875,19.65625,0.109375,1,1,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_047,geography,32,resid_post,none,0.0,Africa,18.71875,18.71875,0.0,1,1,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_047,geography,32,resid_post,none,0.25,Africa,18.71875,19.25,0.53125,1,1,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_047,geography,32,resid_post,none,0.5,Africa,18.71875,19.578125,0.859375,1,2,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_047,geography,32,resid_post,none,0.75,Africa,18.71875,19.671875,0.953125,1,2,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_047,geography,32,resid_post,none,1.0,Africa,18.71875,19.515625,0.796875,1,2,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_049,geography,32,resid_post,none,0.0,Africa,18.09375,18.09375,0.0,3,3,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_049,geography,32,resid_post,none,0.25,Africa,18.09375,18.0625,-0.03125,3,3,0,0,0,hurt
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_049,geography,32,resid_post,none,0.5,Africa,18.09375,17.765625,-0.328125,3,4,-1,0,0,hurt
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_049,geography,32,resid_post,none,0.75,Africa,18.09375,17.3125,-0.78125,3,5,-2,0,0,hurt
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_049,geography,32,resid_post,none,1.0,Africa,18.09375,16.796875,-1.296875,3,5,-2,0,0,hurt
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,sci_006,science,32,resid_post,none,0.0,electric charge,12.2109375,12.2109375,0.0,19,19,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,sci_006,science,32,resid_post,none,0.25,electric charge,12.2109375,13.4921875,1.28125,19,14,5,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,sci_006,science,32,resid_post,none,0.5,electric charge,12.2109375,15.015625,2.8046875,19,9,10,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,sci_006,science,32,resid_post,none,0.75,electric charge,12.2109375,16.5,4.2890625,19,6,13,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,sci_006,science,32,resid_post,none,1.0,electric charge,12.2109375,17.8125,5.6015625,19,1,18,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,sci_014,science,32,resid_post,none,0.0,SiO2,14.65625,14.65625,0.0,6,6,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,sci_014,science,32,resid_post,none,0.25,SiO2,14.65625,15.4453125,0.7890625,6,5,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,sci_014,science,32,resid_post,none,0.5,SiO2,14.65625,15.953125,1.296875,6,5,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,sci_014,science,32,resid_post,none,0.75,SiO2,14.65625,16.1875,1.53125,6,7,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,sci_014,science,32,resid_post,none,1.0,SiO2,14.65625,16.15625,1.5,6,9,-3,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_007,biology,32,resid_post,none,0.0,exposure to sunlight,13.203125,13.203125,0.0,20,20,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_007,biology,32,resid_post,none,0.25,exposure to sunlight,13.203125,14.5625,1.359375,20,14,6,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_007,biology,32,resid_post,none,0.5,exposure to sunlight,13.203125,15.734375,2.53125,20,9,11,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_007,biology,32,resid_post,none,0.75,exposure to sunlight,13.203125,16.65625,3.453125,20,7,13,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_007,biology,32,resid_post,none,1.0,exposure to sunlight,13.203125,17.296875,4.09375,20,7,13,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_008,biology,32,resid_post,none,0.0,excessive bleeding,13.8125,13.8125,0.0,12,12,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_008,biology,32,resid_post,none,0.25,excessive bleeding,13.8125,15.1328125,1.3203125,12,9,3,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_008,biology,32,resid_post,none,0.5,excessive bleeding,13.8125,16.140625,2.328125,12,9,3,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_008,biology,32,resid_post,none,0.75,excessive bleeding,13.8125,16.59375,2.78125,12,7,5,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_008,biology,32,resid_post,none,1.0,excessive bleeding,13.8125,16.5625,2.75,12,8,4,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_012,biology,32,resid_post,none,0.0,nutrients,9.875,9.875,0.0,187,187,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_012,biology,32,resid_post,none,0.25,nutrients,9.875,11.734375,1.859375,187,45,142,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_012,biology,32,resid_post,none,0.5,nutrients,9.875,13.6484375,3.7734375,187,16,171,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_012,biology,32,resid_post,none,0.75,nutrients,9.875,15.171875,5.296875,187,11,176,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_012,biology,32,resid_post,none,1.0,nutrients,9.875,16.140625,6.265625,187,13,174,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_026,biology,32,resid_post,none,0.0,the eye,19.671875,19.671875,0.0,0,0,0,1,1,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_026,biology,32,resid_post,none,0.25,the eye,19.671875,20.28125,0.609375,0,0,0,1,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_026,biology,32,resid_post,none,0.5,the eye,19.671875,20.90625,1.234375,0,0,0,1,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_026,biology,32,resid_post,none,0.75,the eye,19.671875,21.5,1.828125,0,0,0,1,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_026,biology,32,resid_post,none,1.0,the eye,19.671875,22.015625,2.34375,0,0,0,1,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_038,biology,32,resid_post,none,0.0,oxygen,15.234375,15.234375,0.0,4,4,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_038,biology,32,resid_post,none,0.25,oxygen,15.234375,16.875,1.640625,4,2,2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_038,biology,32,resid_post,none,0.5,oxygen,15.234375,18.15625,2.921875,4,2,2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_038,biology,32,resid_post,none,0.75,oxygen,15.234375,19.0625,3.828125,4,2,2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_038,biology,32,resid_post,none,1.0,oxygen,15.234375,19.609375,4.375,4,2,2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_046,biology,32,resid_post,none,0.0,nutrients from food,12.390625,12.390625,0.0,25,25,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_046,biology,32,resid_post,none,0.25,nutrients from food,12.390625,13.8828125,1.4921875,25,13,12,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_046,biology,32,resid_post,none,0.5,nutrients from food,12.390625,15.3359375,2.9453125,25,8,17,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_046,biology,32,resid_post,none,0.75,nutrients from food,12.390625,16.390625,4.0,25,7,18,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,bio_046,biology,32,resid_post,none,1.0,nutrients from food,12.390625,17.0,4.609375,25,7,18,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_002,culture,32,resid_post,none,0.0,France,16.3125,16.3125,0.0,3,3,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_002,culture,32,resid_post,none,0.25,France,16.3125,16.875,0.5625,3,3,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_002,culture,32,resid_post,none,0.5,France,16.3125,17.453125,1.140625,3,3,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_002,culture,32,resid_post,none,0.75,France,16.3125,18.03125,1.71875,3,3,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_002,culture,32,resid_post,none,1.0,France,16.3125,18.46875,2.15625,3,2,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_005,culture,32,resid_post,none,0.0,Spain,16.53125,16.53125,0.0,3,3,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_005,culture,32,resid_post,none,0.25,Spain,16.53125,16.96875,0.4375,3,2,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_005,culture,32,resid_post,none,0.5,Spain,16.53125,17.265625,0.734375,3,3,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_005,culture,32,resid_post,none,0.75,Spain,16.53125,17.40625,0.875,3,4,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_005,culture,32,resid_post,none,1.0,Spain,16.53125,17.40625,0.875,3,5,-2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_011,culture,32,resid_post,none,0.0,Greece,15.8359375,15.8359375,0.0,3,3,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_011,culture,32,resid_post,none,0.25,Greece,15.8359375,16.671875,0.8359375,3,3,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_011,culture,32,resid_post,none,0.5,Greece,15.8359375,17.390625,1.5546875,3,2,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_011,culture,32,resid_post,none,0.75,Greece,15.8359375,17.8125,1.9765625,3,2,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_011,culture,32,resid_post,none,1.0,Greece,15.8359375,17.625,1.7890625,3,3,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_017,culture,32,resid_post,none,0.0,India,15.015625,15.015625,0.0,8,8,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_017,culture,32,resid_post,none,0.25,India,15.015625,15.40625,0.390625,8,8,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_017,culture,32,resid_post,none,0.5,India,15.015625,15.6171875,0.6015625,8,8,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_017,culture,32,resid_post,none,0.75,India,15.015625,15.5859375,0.5703125,8,9,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_017,culture,32,resid_post,none,1.0,India,15.015625,15.2578125,0.2421875,8,12,-4,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_018,culture,32,resid_post,none,0.0,North America,18.03125,18.03125,0.0,2,2,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_018,culture,32,resid_post,none,0.25,North America,18.03125,18.765625,0.734375,2,2,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_018,culture,32,resid_post,none,0.5,North America,18.03125,19.40625,1.375,2,2,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_018,culture,32,resid_post,none,0.75,North America,18.03125,19.828125,1.796875,2,2,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_018,culture,32,resid_post,none,1.0,North America,18.03125,19.765625,1.734375,2,1,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_026,culture,32,resid_post,none,0.0,Russia,17.0625,17.0625,0.0,3,3,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_026,culture,32,resid_post,none,0.25,Russia,17.0625,17.78125,0.71875,3,2,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_026,culture,32,resid_post,none,0.5,Russia,17.0625,18.46875,1.40625,3,2,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_026,culture,32,resid_post,none,0.75,Russia,17.0625,19.03125,1.96875,3,2,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_026,culture,32,resid_post,none,1.0,Russia,17.0625,19.390625,2.328125,3,1,2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_029,culture,32,resid_post,none,0.0,Cairo,17.21875,17.21875,0.0,3,3,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_029,culture,32,resid_post,none,0.25,Cairo,17.21875,17.453125,0.234375,3,3,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_029,culture,32,resid_post,none,0.5,Cairo,17.21875,17.5,0.28125,3,3,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_029,culture,32,resid_post,none,0.75,Cairo,17.21875,17.328125,0.109375,3,3,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_029,culture,32,resid_post,none,1.0,Cairo,17.21875,16.875,-0.34375,3,5,-2,0,0,hurt
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_031,culture,32,resid_post,none,0.0,the River Thames,18.78125,18.78125,0.0,0,0,0,1,1,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_031,culture,32,resid_post,none,0.25,the River Thames,18.78125,19.171875,0.390625,0,0,0,1,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_031,culture,32,resid_post,none,0.5,the River Thames,18.78125,19.4375,0.65625,0,1,-1,1,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_031,culture,32,resid_post,none,0.75,the River Thames,18.78125,19.453125,0.671875,0,2,-2,1,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_031,culture,32,resid_post,none,1.0,the River Thames,18.78125,19.3125,0.53125,0,2,-2,1,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_035,culture,32,resid_post,none,0.0,the Pacific Ring of Fire,18.359375,18.359375,0.0,0,0,0,1,1,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_035,culture,32,resid_post,none,0.25,the Pacific Ring of Fire,18.359375,18.625,0.265625,0,1,-1,1,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_035,culture,32,resid_post,none,0.5,the Pacific Ring of Fire,18.359375,18.734375,0.375,0,1,-1,1,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_035,culture,32,resid_post,none,0.75,the Pacific Ring of Fire,18.359375,18.703125,0.34375,0,2,-2,1,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_035,culture,32,resid_post,none,1.0,the Pacific Ring of Fire,18.359375,18.609375,0.25,0,2,-2,1,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_039,culture,32,resid_post,none,0.0,1147,18.734375,18.734375,0.0,1,1,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_039,culture,32,resid_post,none,0.25,1147,18.734375,19.359375,0.625,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_039,culture,32,resid_post,none,0.5,1147,18.734375,19.984375,1.25,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_039,culture,32,resid_post,none,0.75,1147,18.734375,20.640625,1.90625,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_039,culture,32,resid_post,none,1.0,1147,18.734375,21.296875,2.5625,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_041,culture,32,resid_post,none,0.0,Southeast Asia,17.671875,17.671875,0.0,1,1,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,cul_041,culture,32,resid_post,none,0.25,Southeast Asia,17.671875,18.078125,0.40625,1,1,0,0,0,helped
