example_id,domain,layer,component,hook_name,metric,gold_answer,gold_token_id,gold_token_str,gold_token_count,direct_token_count,structured_token_count,baseline_score,patched_score,delta,valid_example,skip_reason
geo_003,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,the Australian dollar,279, the,3,251,251,17.5,17.765625,0.265625,True,
geo_003,geography,34,attn_out,blocks.34.hook_attn_out,logit,the Australian dollar,279, the,3,251,251,17.5,17.75,0.25,True,
geo_003,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,the Australian dollar,279, the,3,251,251,17.5,17.5625,0.0625,True,
geo_003,geography,35,attn_out,blocks.35.hook_attn_out,logit,the Australian dollar,279, the,3,251,251,17.5,17.546875,0.046875,True,
geo_003,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,the Australian dollar,279, the,3,251,251,17.5,23.296875,5.796875,True,
geo_004,geography,31,attn_out,blocks.31.hook_attn_out,logit,North America,4787, North,2,235,235,18.046875,18.609375,0.5625,True,
geo_004,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,North America,4787, North,2,235,235,18.046875,18.359375,0.3125,True,
geo_004,geography,32,attn_out,blocks.32.hook_attn_out,logit,North America,4787, North,2,235,235,18.046875,18.375,0.328125,True,
geo_004,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,North America,4787, North,2,235,235,18.046875,17.84375,-0.203125,True,
geo_004,geography,33,attn_out,blocks.33.hook_attn_out,logit,North America,4787, North,2,235,235,18.046875,18.703125,0.65625,True,
geo_004,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,North America,4787, North,2,235,235,18.046875,18.921875,0.875,True,
geo_004,geography,34,attn_out,blocks.34.hook_attn_out,logit,North America,4787, North,2,235,235,18.046875,18.53125,0.484375,True,
geo_004,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,North America,4787, North,2,235,235,18.046875,18.5,0.453125,True,
geo_004,geography,35,attn_out,blocks.35.hook_attn_out,logit,North America,4787, North,2,235,235,18.046875,17.78125,-0.265625,True,
geo_004,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,North America,4787, North,2,235,235,18.046875,20.484375,2.4375,True,
geo_006,geography,31,attn_out,blocks.31.hook_attn_out,logit,South America,4882, South,2,249,249,19.125,19.90625,0.78125,True,
geo_006,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,South America,4882, South,2,249,249,19.125,19.28125,0.15625,True,
geo_006,geography,32,attn_out,blocks.32.hook_attn_out,logit,South America,4882, South,2,249,249,19.125,19.109375,-0.015625,True,
geo_006,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,South America,4882, South,2,249,249,19.125,19.046875,-0.078125,True,
geo_006,geography,33,attn_out,blocks.33.hook_attn_out,logit,South America,4882, South,2,249,249,19.125,19.625,0.5,True,
geo_006,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,South America,4882, South,2,249,249,19.125,19.453125,0.328125,True,
geo_006,geography,34,attn_out,blocks.34.hook_attn_out,logit,South America,4882, South,2,249,249,19.125,19.484375,0.359375,True,
geo_006,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,South America,4882, South,2,249,249,19.125,19.859375,0.734375,True,
geo_006,geography,35,attn_out,blocks.35.hook_attn_out,logit,South America,4882, South,2,249,249,19.125,19.015625,-0.109375,True,
geo_006,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,South America,4882, South,2,249,249,19.125,24.0,4.875,True,
geo_007,geography,31,attn_out,blocks.31.hook_attn_out,logit,Africa,10174, Africa,1,241,241,17.828125,18.46875,0.640625,True,
geo_007,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,Africa,10174, Africa,1,241,241,17.828125,17.875,0.046875,True,
geo_007,geography,32,attn_out,blocks.32.hook_attn_out,logit,Africa,10174, Africa,1,241,241,17.828125,18.5625,0.734375,True,
geo_007,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,Africa,10174, Africa,1,241,241,17.828125,18.09375,0.265625,True,
geo_007,geography,33,attn_out,blocks.33.hook_attn_out,logit,Africa,10174, Africa,1,241,241,17.828125,18.03125,0.203125,True,
geo_007,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,Africa,10174, Africa,1,241,241,17.828125,18.390625,0.5625,True,
geo_007,geography,34,attn_out,blocks.34.hook_attn_out,logit,Africa,10174, Africa,1,241,241,17.828125,18.125,0.296875,True,
geo_007,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,Africa,10174, Africa,1,241,241,17.828125,17.875,0.046875,True,
geo_007,geography,35,attn_out,blocks.35.hook_attn_out,logit,Africa,10174, Africa,1,241,241,17.828125,17.8125,-0.015625,True,
geo_007,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,Africa,10174, Africa,1,241,241,17.828125,18.9375,1.109375,True,
geo_008,geography,31,attn_out,blocks.31.hook_attn_out,logit,Asia,13622, Asia,1,242,242,18.9375,19.421875,0.484375,True,
geo_008,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,Asia,13622, Asia,1,242,242,18.9375,18.6875,-0.25,True,
geo_008,geography,32,attn_out,blocks.32.hook_attn_out,logit,Asia,13622, Asia,1,242,242,18.9375,19.421875,0.484375,True,
geo_008,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,Asia,13622, Asia,1,242,242,18.9375,18.953125,0.015625,True,
geo_008,geography,33,attn_out,blocks.33.hook_attn_out,logit,Asia,13622, Asia,1,242,242,18.9375,19.40625,0.46875,True,
geo_008,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,Asia,13622, Asia,1,242,242,18.9375,19.265625,0.328125,True,
geo_008,geography,34,attn_out,blocks.34.hook_attn_out,logit,Asia,13622, Asia,1,242,242,18.9375,19.078125,0.140625,True,
geo_008,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,Asia,13622, Asia,1,242,242,18.9375,19.15625,0.21875,True,
geo_008,geography,35,attn_out,blocks.35.hook_attn_out,logit,Asia,13622, Asia,1,242,242,18.9375,18.859375,-0.078125,True,
geo_008,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,Asia,13622, Asia,1,242,242,18.9375,20.140625,1.203125,True,
geo_010,geography,31,attn_out,blocks.31.hook_attn_out,logit,the Pacific Ocean,279, the,3,238,238,17.671875,18.171875,0.5,True,
geo_010,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,the Pacific Ocean,279, the,3,238,238,17.671875,17.921875,0.25,True,
geo_010,geography,32,attn_out,blocks.32.hook_attn_out,logit,the Pacific Ocean,279, the,3,238,238,17.671875,17.796875,0.125,True,
geo_010,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,the Pacific Ocean,279, the,3,238,238,17.671875,17.796875,0.125,True,
geo_010,geography,33,attn_out,blocks.33.hook_attn_out,logit,the Pacific Ocean,279, the,3,238,238,17.671875,17.015625,-0.65625,True,
geo_010,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,the Pacific Ocean,279, the,3,238,238,17.671875,17.515625,-0.15625,True,
geo_010,geography,34,attn_out,blocks.34.hook_attn_out,logit,the Pacific Ocean,279, the,3,238,238,17.671875,17.90625,0.234375,True,
geo_010,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,the Pacific Ocean,279, the,3,238,238,17.671875,17.8125,0.140625,True,
geo_010,geography,35,attn_out,blocks.35.hook_attn_out,logit,the Pacific Ocean,279, the,3,238,238,17.671875,17.71875,0.046875,True,
geo_010,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,the Pacific Ocean,279, the,3,238,238,17.671875,20.71875,3.046875,True,
geo_011,geography,31,attn_out,blocks.31.hook_attn_out,logit,Europe,4505, Europe,1,231,231,17.65625,18.1875,0.53125,True,
geo_011,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,Europe,4505, Europe,1,231,231,17.65625,17.84375,0.1875,True,
geo_011,geography,32,attn_out,blocks.32.hook_attn_out,logit,Europe,4505, Europe,1,231,231,17.65625,18.375,0.71875,True,
geo_011,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,Europe,4505, Europe,1,231,231,17.65625,17.90625,0.25,True,
geo_011,geography,33,attn_out,blocks.33.hook_attn_out,logit,Europe,4505, Europe,1,231,231,17.65625,17.765625,0.109375,True,
geo_011,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,Europe,4505, Europe,1,231,231,17.65625,17.875,0.21875,True,
geo_011,geography,34,attn_out,blocks.34.hook_attn_out,logit,Europe,4505, Europe,1,231,231,17.65625,18.046875,0.390625,True,
geo_011,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,Europe,4505, Europe,1,231,231,17.65625,18.21875,0.5625,True,
geo_011,geography,35,attn_out,blocks.35.hook_attn_out,logit,Europe,4505, Europe,1,231,231,17.65625,17.59375,-0.0625,True,
geo_011,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,Europe,4505, Europe,1,231,231,17.65625,19.84375,2.1875,True,
geo_012,geography,31,attn_out,blocks.31.hook_attn_out,logit,the euro,279, the,2,242,242,17.765625,18.1875,0.421875,True,
geo_012,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,the euro,279, the,2,242,242,17.765625,18.234375,0.46875,True,
geo_012,geography,32,attn_out,blocks.32.hook_attn_out,logit,the euro,279, the,2,242,242,17.765625,18.0,0.234375,True,
geo_012,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,the euro,279, the,2,242,242,17.765625,17.875,0.109375,True,
geo_012,geography,33,attn_out,blocks.33.hook_attn_out,logit,the euro,279, the,2,242,242,17.765625,17.421875,-0.34375,True,
geo_012,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,the euro,279, the,2,242,242,17.765625,17.625,-0.140625,True,
geo_012,geography,34,attn_out,blocks.34.hook_attn_out,logit,the euro,279, the,2,242,242,17.765625,17.984375,0.21875,True,
geo_012,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,the euro,279, the,2,242,242,17.765625,17.78125,0.015625,True,
geo_012,geography,35,attn_out,blocks.35.hook_attn_out,logit,the euro,279, the,2,242,242,17.765625,17.859375,0.09375,True,
geo_012,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,the euro,279, the,2,242,242,17.765625,20.375,2.609375,True,
geo_014,geography,31,attn_out,blocks.31.hook_attn_out,logit,South America,4882, South,2,243,243,17.109375,18.453125,1.34375,True,
geo_014,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,South America,4882, South,2,243,243,17.109375,17.75,0.640625,True,
geo_014,geography,32,attn_out,blocks.32.hook_attn_out,logit,South America,4882, South,2,243,243,17.109375,17.484375,0.375,True,
geo_014,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,South America,4882, South,2,243,243,17.109375,17.46875,0.359375,True,
geo_014,geography,33,attn_out,blocks.33.hook_attn_out,logit,South America,4882, South,2,243,243,17.109375,17.65625,0.546875,True,
geo_014,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,South America,4882, South,2,243,243,17.109375,17.625,0.515625,True,
geo_014,geography,34,attn_out,blocks.34.hook_attn_out,logit,South America,4882, South,2,243,243,17.109375,17.4375,0.328125,True,
geo_014,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,South America,4882, South,2,243,243,17.109375,17.078125,-0.03125,True,
geo_014,geography,35,attn_out,blocks.35.hook_attn_out,logit,South America,4882, South,2,243,243,17.109375,17.078125,-0.03125,True,
geo_014,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,South America,4882, South,2,243,243,17.109375,20.078125,2.96875,True,
geo_015,geography,31,attn_out,blocks.31.hook_attn_out,logit,Asia,13622, Asia,1,244,244,18.15625,18.4375,0.28125,True,
geo_015,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,Asia,13622, Asia,1,244,244,18.15625,17.765625,-0.390625,True,
geo_015,geography,32,attn_out,blocks.32.hook_attn_out,logit,Asia,13622, Asia,1,244,244,18.15625,18.296875,0.140625,True,
geo_015,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,Asia,13622, Asia,1,244,244,18.15625,17.953125,-0.203125,True,
geo_015,geography,33,attn_out,blocks.33.hook_attn_out,logit,Asia,13622, Asia,1,244,244,18.15625,18.28125,0.125,True,
geo_015,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,Asia,13622, Asia,1,244,244,18.15625,18.46875,0.3125,True,
geo_015,geography,34,attn_out,blocks.34.hook_attn_out,logit,Asia,13622, Asia,1,244,244,18.15625,18.28125,0.125,True,
geo_015,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,Asia,13622, Asia,1,244,244,18.15625,18.484375,0.328125,True,
geo_015,geography,35,attn_out,blocks.35.hook_attn_out,logit,Asia,13622, Asia,1,244,244,18.15625,18.1875,0.03125,True,
geo_015,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,Asia,13622, Asia,1,244,244,18.15625,19.84375,1.6875,True,
geo_019,geography,31,attn_out,blocks.31.hook_attn_out,logit,Asia,13622, Asia,1,241,241,19.828125,20.28125,0.453125,True,
geo_019,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,Asia,13622, Asia,1,241,241,19.828125,19.515625,-0.3125,True,
geo_019,geography,32,attn_out,blocks.32.hook_attn_out,logit,Asia,13622, Asia,1,241,241,19.828125,20.0625,0.234375,True,
geo_019,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,Asia,13622, Asia,1,241,241,19.828125,19.703125,-0.125,True,
geo_019,geography,33,attn_out,blocks.33.hook_attn_out,logit,Asia,13622, Asia,1,241,241,19.828125,19.84375,0.015625,True,
geo_019,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,Asia,13622, Asia,1,241,241,19.828125,20.5625,0.734375,True,
geo_019,geography,34,attn_out,blocks.34.hook_attn_out,logit,Asia,13622, Asia,1,241,241,19.828125,20.140625,0.3125,True,
geo_019,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,Asia,13622, Asia,1,241,241,19.828125,20.09375,0.265625,True,
geo_019,geography,35,attn_out,blocks.35.hook_attn_out,logit,Asia,13622, Asia,1,241,241,19.828125,19.84375,0.015625,True,
geo_019,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,Asia,13622, Asia,1,241,241,19.828125,22.4375,2.609375,True,
geo_021,geography,31,attn_out,blocks.31.hook_attn_out,logit,the Swedish krona,279, the,4,251,251,16.625,17.15625,0.53125,True,
geo_021,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,the Swedish krona,279, the,4,251,251,16.625,17.46875,0.84375,True,
geo_021,geography,32,attn_out,blocks.32.hook_attn_out,logit,the Swedish krona,279, the,4,251,251,16.625,17.078125,0.453125,True,
geo_021,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,the Swedish krona,279, the,4,251,251,16.625,16.703125,0.078125,True,
geo_021,geography,33,attn_out,blocks.33.hook_attn_out,logit,the Swedish krona,279, the,4,251,251,16.625,16.34375,-0.28125,True,
geo_021,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,the Swedish krona,279, the,4,251,251,16.625,16.46875,-0.15625,True,
geo_021,geography,34,attn_out,blocks.34.hook_attn_out,logit,the Swedish krona,279, the,4,251,251,16.625,16.828125,0.203125,True,
geo_021,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,the Swedish krona,279, the,4,251,251,16.625,16.75,0.125,True,
geo_021,geography,35,attn_out,blocks.35.hook_attn_out,logit,the Swedish krona,279, the,4,251,251,16.625,16.796875,0.171875,True,
geo_021,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,the Swedish krona,279, the,4,251,251,16.625,19.046875,2.421875,True,
geo_022,geography,31,attn_out,blocks.31.hook_attn_out,logit,South America,4882, South,2,237,237,18.109375,18.78125,0.671875,True,
geo_022,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,South America,4882, South,2,237,237,18.109375,17.8125,-0.296875,True,
geo_022,geography,32,attn_out,blocks.32.hook_attn_out,logit,South America,4882, South,2,237,237,18.109375,18.296875,0.1875,True,
geo_022,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,South America,4882, South,2,237,237,18.109375,18.0,-0.109375,True,
geo_022,geography,33,attn_out,blocks.33.hook_attn_out,logit,South America,4882, South,2,237,237,18.109375,18.421875,0.3125,True,
geo_022,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,South America,4882, South,2,237,237,18.109375,18.390625,0.28125,True,
geo_022,geography,34,attn_out,blocks.34.hook_attn_out,logit,South America,4882, South,2,237,237,18.109375,18.34375,0.234375,True,
geo_022,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,South America,4882, South,2,237,237,18.109375,18.25,0.140625,True,
geo_022,geography,35,attn_out,blocks.35.hook_attn_out,logit,South America,4882, South,2,237,237,18.109375,18.0,-0.109375,True,
geo_022,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,South America,4882, South,2,237,237,18.109375,22.78125,4.671875,True,
geo_025,geography,31,attn_out,blocks.31.hook_attn_out,logit,NATO,29234, NATO,1,245,245,12.484375,14.171875,1.6875,True,
geo_025,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,NATO,29234, NATO,1,245,245,12.484375,13.671875,1.1875,True,
geo_025,geography,32,attn_out,blocks.32.hook_attn_out,logit,NATO,29234, NATO,1,245,245,12.484375,13.734375,1.25,True,
geo_025,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,NATO,29234, NATO,1,245,245,12.484375,12.96875,0.484375,True,
geo_025,geography,33,attn_out,blocks.33.hook_attn_out,logit,NATO,29234, NATO,1,245,245,12.484375,14.171875,1.6875,True,
geo_025,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,NATO,29234, NATO,1,245,245,12.484375,12.140625,-0.34375,True,
geo_025,geography,34,attn_out,blocks.34.hook_attn_out,logit,NATO,29234, NATO,1,245,245,12.484375,12.921875,0.4375,True,
geo_025,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,NATO,29234, NATO,1,245,245,12.484375,12.484375,0.0,True,
geo_025,geography,35,attn_out,blocks.35.hook_attn_out,logit,NATO,29234, NATO,1,245,245,12.484375,12.296875,-0.1875,True,
geo_025,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,NATO,29234, NATO,1,245,245,12.484375,12.875,0.390625,True,
geo_026,geography,31,attn_out,blocks.31.hook_attn_out,logit,Africa,10174, Africa,1,241,241,18.671875,19.234375,0.5625,True,
geo_026,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,Africa,10174, Africa,1,241,241,18.671875,19.09375,0.421875,True,
geo_026,geography,32,attn_out,blocks.32.hook_attn_out,logit,Africa,10174, Africa,1,241,241,18.671875,19.34375,0.671875,True,
geo_026,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,Africa,10174, Africa,1,241,241,18.671875,18.96875,0.296875,True,
geo_026,geography,33,attn_out,blocks.33.hook_attn_out,logit,Africa,10174, Africa,1,241,241,18.671875,19.0625,0.390625,True,
geo_026,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,Africa,10174, Africa,1,241,241,18.671875,19.65625,0.984375,True,
geo_026,geography,34,attn_out,blocks.34.hook_attn_out,logit,Africa,10174, Africa,1,241,241,18.671875,18.953125,0.28125,True,
geo_026,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,Africa,10174, Africa,1,241,241,18.671875,18.90625,0.234375,True,
geo_026,geography,35,attn_out,blocks.35.hook_attn_out,logit,Africa,10174, Africa,1,241,241,18.671875,18.703125,0.03125,True,
geo_026,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,Africa,10174, Africa,1,241,241,18.671875,20.140625,1.46875,True,
geo_027,geography,31,attn_out,blocks.31.hook_attn_out,logit,England,9448, England,1,241,241,18.1875,18.890625,0.703125,True,
geo_027,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,England,9448, England,1,241,241,18.1875,18.609375,0.421875,True,
geo_027,geography,32,attn_out,blocks.32.hook_attn_out,logit,England,9448, England,1,241,241,18.1875,19.25,1.0625,True,
geo_027,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,England,9448, England,1,241,241,18.1875,18.265625,0.078125,True,
geo_027,geography,33,attn_out,blocks.33.hook_attn_out,logit,England,9448, England,1,241,241,18.1875,19.109375,0.921875,True,
geo_027,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,England,9448, England,1,241,241,18.1875,18.953125,0.765625,True,
geo_027,geography,34,attn_out,blocks.34.hook_attn_out,logit,England,9448, England,1,241,241,18.1875,18.515625,0.328125,True,
geo_027,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,England,9448, England,1,241,241,18.1875,18.625,0.4375,True,
geo_027,geography,35,attn_out,blocks.35.hook_attn_out,logit,England,9448, England,1,241,241,18.1875,18.03125,-0.15625,True,
geo_027,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,England,9448, England,1,241,241,18.1875,22.90625,4.71875,True,
geo_028,geography,31,attn_out,blocks.31.hook_attn_out,logit,Asia,13622, Asia,1,249,249,18.78125,19.109375,0.328125,True,
geo_028,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,Asia,13622, Asia,1,249,249,18.78125,18.671875,-0.109375,True,
geo_028,geography,32,attn_out,blocks.32.hook_attn_out,logit,Asia,13622, Asia,1,249,249,18.78125,19.359375,0.578125,True,
geo_028,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,Asia,13622, Asia,1,249,249,18.78125,18.890625,0.109375,True,
geo_028,geography,33,attn_out,blocks.33.hook_attn_out,logit,Asia,13622, Asia,1,249,249,18.78125,19.6875,0.90625,True,
geo_028,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,Asia,13622, Asia,1,249,249,18.78125,18.78125,0.0,True,
geo_028,geography,34,attn_out,blocks.34.hook_attn_out,logit,Asia,13622, Asia,1,249,249,18.78125,18.8125,0.03125,True,
geo_028,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,Asia,13622, Asia,1,249,249,18.78125,19.65625,0.875,True,
geo_028,geography,35,attn_out,blocks.35.hook_attn_out,logit,Asia,13622, Asia,1,249,249,18.78125,18.671875,-0.109375,True,
geo_028,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,Asia,13622, Asia,1,249,249,18.78125,18.546875,-0.234375,True,
geo_031,geography,31,attn_out,blocks.31.hook_attn_out,logit,Europe,4505, Europe,1,248,248,17.140625,17.859375,0.71875,True,
geo_031,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,Europe,4505, Europe,1,248,248,17.140625,17.359375,0.21875,True,
geo_031,geography,32,attn_out,blocks.32.hook_attn_out,logit,Europe,4505, Europe,1,248,248,17.140625,17.84375,0.703125,True,
geo_031,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,Europe,4505, Europe,1,248,248,17.140625,17.375,0.234375,True,
geo_031,geography,33,attn_out,blocks.33.hook_attn_out,logit,Europe,4505, Europe,1,248,248,17.140625,17.734375,0.59375,True,
geo_031,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,Europe,4505, Europe,1,248,248,17.140625,16.765625,-0.375,True,
geo_031,geography,34,attn_out,blocks.34.hook_attn_out,logit,Europe,4505, Europe,1,248,248,17.140625,17.359375,0.21875,True,
geo_031,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,Europe,4505, Europe,1,248,248,17.140625,17.09375,-0.046875,True,
geo_031,geography,35,attn_out,blocks.35.hook_attn_out,logit,Europe,4505, Europe,1,248,248,17.140625,17.109375,-0.03125,True,
geo_031,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,Europe,4505, Europe,1,248,248,17.140625,17.34375,0.203125,True,
geo_034,geography,31,attn_out,blocks.31.hook_attn_out,logit,Scandinavia,59180, Scandin,2,253,253,16.234375,17.03125,0.796875,True,
geo_034,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,Scandinavia,59180, Scandin,2,253,253,16.234375,16.703125,0.46875,True,
geo_034,geography,32,attn_out,blocks.32.hook_attn_out,logit,Scandinavia,59180, Scandin,2,253,253,16.234375,18.0,1.765625,True,
geo_034,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,Scandinavia,59180, Scandin,2,253,253,16.234375,16.078125,-0.15625,True,
geo_034,geography,33,attn_out,blocks.33.hook_attn_out,logit,Scandinavia,59180, Scandin,2,253,253,16.234375,16.828125,0.59375,True,
geo_034,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,Scandinavia,59180, Scandin,2,253,253,16.234375,14.7421875,-1.4921875,True,
geo_034,geography,34,attn_out,blocks.34.hook_attn_out,logit,Scandinavia,59180, Scandin,2,253,253,16.234375,16.421875,0.1875,True,
geo_034,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,Scandinavia,59180, Scandin,2,253,253,16.234375,16.34375,0.109375,True,
geo_034,geography,35,attn_out,blocks.35.hook_attn_out,logit,Scandinavia,59180, Scandin,2,253,253,16.234375,16.296875,0.0625,True,
geo_034,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,Scandinavia,59180, Scandin,2,253,253,16.234375,16.296875,0.0625,True,
geo_035,geography,31,attn_out,blocks.31.hook_attn_out,logit,Asia,13622, Asia,1,243,243,18.65625,19.3125,0.65625,True,
geo_035,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,Asia,13622, Asia,1,243,243,18.65625,18.65625,0.0,True,
geo_035,geography,32,attn_out,blocks.32.hook_attn_out,logit,Asia,13622, Asia,1,243,243,18.65625,19.21875,0.5625,True,
geo_035,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,Asia,13622, Asia,1,243,243,18.65625,18.890625,0.234375,True,
geo_035,geography,33,attn_out,blocks.33.hook_attn_out,logit,Asia,13622, Asia,1,243,243,18.65625,19.671875,1.015625,True,
