model,example_id,domain,source_cell,donor_cell,layer,hook,token_position,control,alpha,split,gold_answer,gold_token_id,baseline_gold_logit,steered_gold_logit,delta_gold_logit,baseline_gold_rank,steered_gold_rank,delta_gold_rank,baseline_top1,steered_top1,random_seed
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,South America,4882,19.125,18.671875,-0.453125,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,South America,4882,19.125,19.125,0.0,1,1,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,South America,4882,19.125,19.0625,-0.0625,1,1,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,South America,4882,19.125,18.984375,-0.140625,1,1,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,South America,4882,19.125,18.890625,-0.234375,1,1,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,South America,4882,19.125,18.765625,-0.359375,1,1,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,South America,4882,19.125,19.125,0.0,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,South America,4882,19.125,19.203125,0.078125,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,South America,4882,19.125,19.234375,0.109375,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,South America,4882,19.125,19.25,0.125,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,South America,4882,19.125,19.25,0.125,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Africa,10174,17.828125,17.828125,0.0,2,2,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Africa,10174,17.828125,17.8125,-0.015625,2,1,1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Africa,10174,17.828125,17.765625,-0.0625,2,1,1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Africa,10174,17.828125,17.6875,-0.140625,2,1,1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Africa,10174,17.828125,17.578125,-0.25,2,1,1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Africa,10174,17.828125,17.828125,0.0,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Africa,10174,17.828125,17.8125,-0.015625,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Africa,10174,17.828125,17.765625,-0.0625,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Africa,10174,17.828125,17.671875,-0.15625,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Africa,10174,17.828125,17.53125,-0.296875,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Africa,10174,17.828125,17.828125,0.0,2,2,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Africa,10174,17.828125,17.9375,0.109375,2,1,1,0,0,seed_44
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Africa,10174,17.828125,17.984375,0.15625,2,1,1,0,0,seed_44
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Africa,10174,17.828125,18.0,0.171875,2,1,1,0,0,seed_44
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Africa,10174,17.828125,17.96875,0.140625,2,1,1,0,0,seed_44
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,19.828125,19.828125,0.0,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,19.828125,19.953125,0.125,1,0,1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,19.828125,20.0625,0.234375,1,0,1,0,1,seed_42
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,19.828125,20.140625,0.3125,1,0,1,0,1,seed_42
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,19.828125,20.171875,0.34375,1,0,1,0,1,seed_42
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,19.828125,19.828125,0.0,1,1,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,19.828125,19.8125,-0.015625,1,0,1,0,1,seed_43
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,19.828125,19.75,-0.078125,1,0,1,0,1,seed_43
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,19.828125,19.625,-0.203125,1,0,1,0,1,seed_43
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,19.828125,19.453125,-0.375,1,0,1,0,1,seed_43
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,19.828125,19.828125,0.0,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,19.828125,19.9375,0.109375,1,0,1,0,1,seed_44
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,19.828125,19.96875,0.140625,1,0,1,0,0,seed_44
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,19.828125,19.96875,0.140625,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,19.828125,19.90625,0.078125,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,South America,4882,18.109375,18.109375,0.0,3,3,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,South America,4882,18.109375,17.984375,-0.125,3,3,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,South America,4882,18.109375,17.8125,-0.296875,3,3,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,South America,4882,18.109375,17.609375,-0.5,3,3,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,South America,4882,18.109375,17.359375,-0.75,3,4,-1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,South America,4882,18.109375,18.109375,0.0,3,3,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,South America,4882,18.109375,18.125,0.015625,3,2,1,0,0,seed_43
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,South America,4882,18.109375,18.125,0.015625,3,2,1,0,0,seed_43
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,South America,4882,18.109375,18.0625,-0.046875,3,0,3,0,1,seed_43
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,South America,4882,18.109375,17.9375,-0.171875,3,0,3,0,1,seed_43
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,South America,4882,18.109375,18.109375,0.0,3,3,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,South America,4882,18.109375,18.140625,0.03125,3,3,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,South America,4882,18.109375,18.15625,0.046875,3,3,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,South America,4882,18.109375,18.140625,0.03125,3,3,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,South America,4882,18.109375,18.09375,-0.015625,3,3,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,NATO,29234,12.484375,12.484375,0.0,13,13,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,NATO,29234,12.484375,12.4296875,-0.0546875,13,14,-1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,NATO,29234,12.484375,12.34375,-0.140625,13,16,-3,0,0,seed_42
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,NATO,29234,12.484375,12.2265625,-0.2578125,13,22,-9,0,0,seed_42
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,NATO,29234,12.484375,12.0859375,-0.3984375,13,24,-11,0,0,seed_42
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,NATO,29234,12.484375,12.484375,0.0,13,13,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,NATO,29234,12.484375,12.546875,0.0625,13,11,2,0,0,seed_43
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,NATO,29234,12.484375,12.625,0.140625,13,9,4,0,0,seed_43
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,NATO,29234,12.484375,12.7109375,0.2265625,13,8,5,0,0,seed_43
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,NATO,29234,12.484375,12.796875,0.3125,13,8,5,0,0,seed_43
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,NATO,29234,12.484375,12.484375,0.0,13,13,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,NATO,29234,12.484375,12.6484375,0.1640625,13,10,3,0,0,seed_44
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,NATO,29234,12.484375,12.7734375,0.2890625,13,9,4,0,0,seed_44
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,NATO,29234,12.484375,12.8671875,0.3828125,13,7,6,0,0,seed_44
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,NATO,29234,12.484375,12.921875,0.4375,13,7,6,0,0,seed_44
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,18.78125,18.78125,0.0,2,2,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,18.78125,19.046875,0.265625,2,2,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,18.78125,19.265625,0.484375,2,1,1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,18.78125,19.4375,0.65625,2,1,1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,18.78125,19.5625,0.78125,2,1,1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,18.78125,18.78125,0.0,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,18.78125,18.84375,0.0625,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,18.78125,18.84375,0.0625,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,18.78125,18.78125,0.0,2,1,1,0,0,seed_43
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,18.78125,18.671875,-0.109375,2,1,1,0,0,seed_43
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,18.78125,18.78125,0.0,2,2,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,18.78125,18.8125,0.03125,2,2,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,18.78125,18.765625,-0.015625,2,2,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,18.78125,18.6875,-0.09375,2,2,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,18.78125,18.546875,-0.234375,2,2,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,18.65625,18.65625,0.0,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,18.65625,18.828125,0.171875,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,18.65625,19.0,0.34375,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,18.65625,19.140625,0.484375,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,18.65625,19.234375,0.578125,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,18.65625,18.65625,0.0,1,1,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,18.65625,18.859375,0.203125,1,1,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,18.65625,19.0,0.34375,1,1,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,18.65625,19.0625,0.40625,1,1,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,18.65625,19.046875,0.390625,1,0,1,0,1,seed_43
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,18.65625,18.65625,0.0,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,18.65625,18.84375,0.1875,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,18.65625,18.96875,0.3125,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,18.65625,19.03125,0.375,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,18.65625,19.03125,0.375,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,South America,4882,17.609375,17.609375,0.0,2,2,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,South America,4882,17.609375,17.53125,-0.078125,2,3,-1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,South America,4882,17.609375,17.4375,-0.171875,2,3,-1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,South America,4882,17.609375,17.28125,-0.328125,2,3,-1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,South America,4882,17.609375,17.0625,-0.546875,2,3,-1,0,0,seed_42
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,South America,4882,17.609375,17.609375,0.0,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,South America,4882,17.609375,17.625,0.015625,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,South America,4882,17.609375,17.609375,0.0,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,South America,4882,17.609375,17.5625,-0.046875,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,South America,4882,17.609375,17.46875,-0.140625,2,2,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,South America,4882,17.609375,17.609375,0.0,2,2,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,South America,4882,17.609375,17.71875,0.109375,2,2,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,South America,4882,17.609375,17.765625,0.15625,2,2,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,South America,4882,17.609375,17.78125,0.171875,2,2,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_043,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,South America,4882,17.609375,17.734375,0.125,2,2,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,19.546875,19.546875,0.0,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,19.546875,19.765625,0.21875,1,0,1,0,1,seed_42
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,19.546875,19.96875,0.421875,1,0,1,0,1,seed_42
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,19.546875,20.125,0.578125,1,0,1,0,1,seed_42
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,19.546875,20.21875,0.671875,1,0,1,0,1,seed_42
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,19.546875,19.546875,0.0,1,1,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,19.546875,19.5625,0.015625,1,0,1,0,1,seed_43
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,19.546875,19.53125,-0.015625,1,0,1,0,1,seed_43
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,19.546875,19.484375,-0.0625,1,0,1,0,1,seed_43
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,19.546875,19.390625,-0.15625,1,0,1,0,1,seed_43
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,19.546875,19.546875,0.0,1,1,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,19.546875,19.75,0.203125,1,0,1,0,1,seed_44
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,19.546875,19.90625,0.359375,1,0,1,0,1,seed_44
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,19.546875,19.984375,0.4375,1,0,1,0,1,seed_44
Qwen/Qwen2.5-3B,geo_045,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,19.546875,20.0,0.453125,1,0,1,0,1,seed_44
Qwen/Qwen2.5-3B,geo_047,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Africa,10174,18.71875,18.71875,0.0,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_047,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Africa,10174,18.71875,18.765625,0.046875,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_047,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Africa,10174,18.71875,18.78125,0.0625,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_047,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Africa,10174,18.71875,18.734375,0.015625,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_047,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Africa,10174,18.71875,18.65625,-0.0625,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_047,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Africa,10174,18.71875,18.71875,0.0,1,1,0,0,0,seed_43
