model,example_id,domain,source_cell,donor_cell,layer,hook,token_position,control,random_seed,alpha,split,gold_answer,gold_token_id,baseline_gold_logit,steered_gold_logit,delta_gold_logit,baseline_gold_rank,steered_gold_rank,delta_gold_rank,baseline_top1,steered_top1,diagnostic,vector_l2_norm,n_train_valid,n_test_valid
Qwen/Qwen2.5-3B,geo_028,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Asia,13622,18.78125,19.890625,1.109375,2,2,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_028,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Asia,13622,18.78125,19.96875,1.1875,2,1,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_028,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Asia,13622,18.78125,19.65625,0.875,2,3,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_035,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Asia,13622,18.65625,19.328125,0.671875,1,2,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_035,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Asia,13622,18.65625,19.78125,1.125,1,3,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_035,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Asia,13622,18.65625,19.78125,1.125,1,4,-3,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_035,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Asia,13622,18.65625,19.265625,0.609375,1,4,-3,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_043,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,South America,4882,17.609375,18.34375,0.734375,2,3,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_043,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,South America,4882,17.609375,18.5,0.890625,2,3,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_043,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,South America,4882,17.609375,17.984375,0.375,2,3,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_043,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,South America,4882,17.609375,16.984375,-0.625,2,4,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_045,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Asia,13622,19.546875,19.828125,0.28125,1,1,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_045,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Asia,13622,19.546875,19.828125,0.28125,1,1,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_045,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Asia,13622,19.546875,19.578125,0.03125,1,1,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_045,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Asia,13622,19.546875,19.203125,-0.34375,1,3,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_047,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Africa,10174,18.71875,19.265625,0.546875,1,1,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_047,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Africa,10174,18.71875,19.640625,0.921875,1,2,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_047,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Africa,10174,18.71875,19.84375,1.125,1,2,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_047,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Africa,10174,18.71875,19.875,1.15625,1,2,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_049,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Africa,10174,18.09375,17.875,-0.21875,3,3,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_049,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Africa,10174,18.09375,17.3125,-0.78125,3,4,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_049,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Africa,10174,18.09375,16.609375,-1.484375,3,5,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_049,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Africa,10174,18.09375,15.9609375,-2.1328125,3,5,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,sci_006,science,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,electric charge,9072,12.2109375,13.75,1.5390625,19,14,5,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,sci_006,science,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,electric charge,9072,12.2109375,15.5703125,3.359375,19,7,12,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,sci_006,science,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,electric charge,9072,12.2109375,17.34375,5.1328125,19,3,16,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,sci_006,science,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,electric charge,9072,12.2109375,18.953125,6.7421875,19,1,18,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,sci_014,science,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,SiO2,11832,14.65625,15.2734375,0.6171875,6,6,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,sci_014,science,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,SiO2,11832,14.65625,15.8359375,1.1796875,6,7,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,sci_014,science,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,SiO2,11832,14.65625,16.15625,1.5,6,10,-4,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,sci_014,science,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,SiO2,11832,14.65625,16.140625,1.484375,6,11,-5,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_007,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,exposure to sunlight,14338,13.203125,14.953125,1.75,20,13,7,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_007,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,exposure to sunlight,14338,13.203125,16.375,3.171875,20,7,13,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_007,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,exposure to sunlight,14338,13.203125,17.59375,4.390625,20,4,16,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_007,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,exposure to sunlight,14338,13.203125,18.5625,5.359375,20,3,17,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_008,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,excessive bleeding,26541,13.8125,15.3984375,1.5859375,12,9,3,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_008,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,excessive bleeding,26541,13.8125,16.328125,2.515625,12,9,3,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_008,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,excessive bleeding,26541,13.8125,16.421875,2.609375,12,7,5,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_008,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,excessive bleeding,26541,13.8125,15.65625,1.84375,12,9,3,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_012,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,nutrients,36393,9.875,11.953125,2.078125,187,38,149,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_012,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,nutrients,36393,9.875,13.6640625,3.7890625,187,18,169,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_012,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,nutrients,36393,9.875,14.796875,4.921875,187,16,171,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_012,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,nutrients,36393,9.875,15.6875,5.8125,187,13,174,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_026,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,the eye,279,19.671875,20.28125,0.609375,0,0,0,1,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_026,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,the eye,279,19.671875,20.90625,1.234375,0,0,0,1,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_026,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,the eye,279,19.671875,21.53125,1.859375,0,0,0,1,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_026,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,the eye,279,19.671875,22.109375,2.4375,0,0,0,1,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_038,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,oxygen,23552,15.234375,17.078125,1.84375,4,2,2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_038,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,oxygen,23552,15.234375,18.3125,3.078125,4,2,2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_038,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,oxygen,23552,15.234375,19.375,4.140625,4,2,2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_038,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,oxygen,23552,15.234375,20.328125,5.09375,4,2,2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_046,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,nutrients from food,36393,12.390625,14.3203125,1.9296875,25,7,18,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_046,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,nutrients from food,36393,12.390625,16.15625,3.765625,25,4,21,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_046,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,nutrients from food,36393,12.390625,17.53125,5.140625,25,3,22,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,bio_046,biology,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,nutrients from food,36393,12.390625,18.40625,6.015625,25,3,22,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_002,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,France,9625,16.3125,16.9375,0.625,3,3,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_002,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,France,9625,16.3125,17.625,1.3125,3,4,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_002,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,France,9625,16.3125,18.140625,1.828125,3,3,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_002,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,France,9625,16.3125,18.234375,1.921875,3,3,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_005,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Spain,17689,16.53125,16.859375,0.328125,3,2,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_005,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Spain,17689,16.53125,16.875,0.34375,3,4,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_005,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Spain,17689,16.53125,16.625,0.09375,3,4,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_005,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Spain,17689,16.53125,16.28125,-0.25,3,6,-3,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_011,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Greece,24427,15.8359375,16.65625,0.8203125,3,3,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_011,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Greece,24427,15.8359375,17.28125,1.4453125,3,2,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_011,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Greece,24427,15.8359375,17.515625,1.6796875,3,2,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_011,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Greece,24427,15.8359375,17.21875,1.3828125,3,4,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_017,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,India,6747,15.015625,15.4609375,0.4453125,8,7,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_017,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,India,6747,15.015625,15.625,0.609375,8,9,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_017,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,India,6747,15.015625,15.375,0.359375,8,9,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_017,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,India,6747,15.015625,14.78125,-0.234375,8,14,-6,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_018,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,North America,4787,18.03125,18.625,0.59375,2,2,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_018,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,North America,4787,18.03125,19.046875,1.015625,2,2,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_018,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,North America,4787,18.03125,19.09375,1.0625,2,2,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_018,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,North America,4787,18.03125,18.5,0.46875,2,3,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_026,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Russia,8359,17.0625,17.8125,0.75,3,2,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_026,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Russia,8359,17.0625,18.4375,1.375,3,2,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_026,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Russia,8359,17.0625,18.859375,1.796875,3,2,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_026,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Russia,8359,17.0625,19.09375,2.03125,3,1,2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_029,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Cairo,52550,17.21875,17.46875,0.25,3,3,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_029,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Cairo,52550,17.21875,17.46875,0.25,3,3,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_029,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Cairo,52550,17.21875,17.015625,-0.203125,3,5,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_029,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Cairo,52550,17.21875,16.0625,-1.15625,3,8,-5,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_031,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,the River Thames,279,18.78125,19.15625,0.375,0,0,0,1,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_031,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,the River Thames,279,18.78125,19.40625,0.625,0,2,-2,1,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_031,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,the River Thames,279,18.78125,19.4375,0.65625,0,2,-2,1,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_031,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,the River Thames,279,18.78125,19.375,0.59375,0,2,-2,1,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_035,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,the Pacific Ring of Fire,279,18.359375,18.59375,0.234375,0,0,0,1,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_035,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,the Pacific Ring of Fire,279,18.359375,18.609375,0.25,0,1,-1,1,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_035,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,the Pacific Ring of Fire,279,18.359375,18.421875,0.0625,0,2,-2,1,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_035,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,the Pacific Ring of Fire,279,18.359375,18.171875,-0.1875,0,2,-2,1,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_039,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,1147,220,18.734375,19.390625,0.65625,1,0,1,0,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_039,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,1147,220,18.734375,20.015625,1.28125,1,0,1,0,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_039,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,1147,220,18.734375,20.5625,1.828125,1,0,1,0,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_039,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,1147,220,18.734375,21.046875,2.3125,1,0,1,0,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_041,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Southeast Asia,35564,17.671875,17.9375,0.265625,1,1,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_041,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Southeast Asia,35564,17.671875,17.765625,0.09375,1,5,-4,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_041,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Southeast Asia,35564,17.671875,17.078125,-0.59375,1,5,-4,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_041,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Southeast Asia,35564,17.671875,16.0,-1.671875,1,9,-8,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,cul_047,culture,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Spain,17689,15.0625,15.46875,0.40625,4,4,0,0,0,layer_sweep,83.96696472167969,72,32
