example_id,domain,cell,gold_answer,generated_answer,normalised_gold,normalised_generated,exact_match_correct,answer_containment_label
geo_004,geography,B,North America," the continent of Canada.
Fact 2: The continent of Canada is located on",north america,continent of canada. fact 2: the continent of canada is located on,False,wrong
geo_004,geography,C,North America," North America

Q: The city of Ottawa is located on what continent?
Step",north america,north america q: the city of ottawa is located on what continent? step,True,exact_match
geo_004,geography,D,North America," North America

Fact 1: The Earth is tilted on its axis.
Fact",north america,north america fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_004,geography,E,North America,,north america,,False,wrong
geo_005,geography,A,the European Union," the European Union

Fact 1: The Danube River flows through the capital",european union,european union fact 1: the danube river flows through the capital,True,exact_match
geo_005,geography,B,the European Union," the European Union

Q: Berlin is the capital of the most populous country in",european union,european union q: berlin is the capital of the most populous country in,True,exact_match
geo_005,geography,C,the European Union," the European Union

Q: Berlin is the capital of the most populous country in",european union,european union q: berlin is the capital of the most populous country in,True,exact_match
geo_005,geography,D,the European Union," the European Union
You are an AI assistant that helps people find information. User",european union,european union you are an ai assistant that helps people find information. user,True,exact_match
geo_005,geography,E,the European Union,,european union,,False,wrong
geo_006,geography,A,South America," South America

Fact 1: The Danube River flows through the capital of",south america,south america fact 1: the danube river flows through the capital of,True,exact_match
geo_006,geography,B,South America," the continent of Brasilia is located in the abdomen.

Fact 1: Bras",south america,continent of brasilia is located in the abdomen. fact 1: bras,False,wrong
geo_006,geography,C,South America," South America

Q: The city of Brasilia is located on what continent?
",south america,south america q: the city of brasilia is located on what continent,True,exact_match
geo_006,geography,D,South America," South America

Fact 1: The Earth is tilted on its axis.
Fact",south america,south america fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_006,geography,E,South America,,south america,,False,wrong
geo_007,geography,A,Africa," Africa

Fact 1: The Danube River flows through the capital of what",africa,africa fact 1: the danube river flows through the capital of what,True,exact_match
geo_007,geography,B,Africa," the city of Cairo is located in the capital of what country?
A: the",africa,city of cairo is located in the capital of what country? a: the,False,wrong
geo_007,geography,C,Africa," Africa

Fact 1: Cairo is the capital of Egypt.
Fact 2",africa,africa fact 1: cairo is the capital of egypt. fact 2,True,exact_match
geo_007,geography,D,Africa," Africa

Fact 1: The Earth is tilted on its axis.
Fact ",africa,africa fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_007,geography,E,Africa,,africa,,False,wrong
geo_008,geography,A,Asia," Asia

Fact 1: The Danube River flows through the capital of what",asia,asia fact 1: the danube river flows through the capital of what,True,exact_match
geo_008,geography,B,Asia," Beijing is the capital of China.
Fact 2: Bats are the only",asia,beijing is the capital of china. fact 2: bats are the only,False,wrong
geo_008,geography,C,Asia," Asia

Q: The city of Beijing is located on what continent?
Step ",asia,asia q: the city of beijing is located on what continent? step,True,exact_match
geo_008,geography,D,Asia," Asia

Fact 1: The Earth is tilted on its axis.
Fact ",asia,asia fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_008,geography,E,Asia,,asia,,False,wrong
geo_009,geography,A,largest land area," the largest land area of any country

Fact 1: The Danube River",largest land area,largest land area of any country fact 1: the danube river,False,contains_correct_answer
geo_009,geography,B,largest land area," the capital of Russia.
Fact 2: The capital of Russia.
Fact ",largest land area,capital of russia. fact 2: the capital of russia. fact,False,wrong
geo_009,geography,C,largest land area," the capital of the country is located in the country.

Fact 1: Moscow",largest land area,capital of the country is located in the country. fact 1: moscow,False,wrong
geo_009,geography,D,largest land area," Russia has the largest land area of any country.
You are an AI assistant that",largest land area,russia has the largest land area of any country. you are an ai assistant that,False,contains_correct_answer
geo_009,geography,E,largest land area,,largest land area,,False,wrong
geo_010,geography,A,the Pacific Ocean," the Pacific Ocean

Fact 1: The Danube River flows through the capital",pacific ocean,pacific ocean fact 1: the danube river flows through the capital,True,exact_match
geo_010,geography,B,the Pacific Ocean," Lima is the capital of Peru.
Fact 2: Cacti store water",pacific ocean,lima is the capital of peru. fact 2: cacti store water,False,wrong
geo_010,geography,C,the Pacific Ocean," the Pacific Ocean

Fact 1: Lima is the capital of Peru.
Fact",pacific ocean,pacific ocean fact 1: lima is the capital of peru. fact,True,exact_match
geo_010,geography,D,the Pacific Ocean," The Pacific Ocean

Fact 1: The Earth is tilted on its axis.
",pacific ocean,pacific ocean fact 1: the earth is tilted on its axis,True,exact_match
geo_010,geography,E,the Pacific Ocean,,pacific ocean,,False,wrong
geo_011,geography,A,Europe," Europe

Fact 1: The Danube River flows through the capital of what",europe,europe fact 1: the danube river flows through the capital of what,True,exact_match
geo_011,geography,B,Europe," Madrid is located in Europe.
Fact 1: Madrid is located in Europe.
",europe,madrid is located in europe. fact 1: madrid is located in europe,False,contains_correct_answer
geo_011,geography,C,Europe," Europe

Fact 1: Madrid is the capital of Spain.
Fact 2",europe,europe fact 1: madrid is the capital of spain. fact 2,True,exact_match
geo_011,geography,D,Europe," Europe

Fact 1: The Earth is tilted on its axis.
Fact ",europe,europe fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_011,geography,E,Europe,,europe,,False,wrong
geo_012,geography,A,the euro," the euro

Fact 1: The Danube River flows through the capital of",euro,euro fact 1: the danube river flows through the capital of,True,exact_match
geo_012,geography,B,the euro," the abdomen

Fact 1: Rome is the capital of Italy.
Fact ",euro,abdomen fact 1: rome is the capital of italy. fact,False,wrong
geo_012,geography,C,the euro," the euro

Fact 1: Rome is the capital of a country that uses",euro,euro fact 1: rome is the capital of a country that uses,True,exact_match
geo_012,geography,D,the euro," The euro

Fact 1: The Earth is tilted on its axis.
Fact",euro,euro fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_012,geography,E,the euro,,euro,,False,wrong
geo_013,geography,A,Africa," Africa

Fact 1: The Danube River flows through the capital of what",africa,africa fact 1: the danube river flows through the capital of what,True,exact_match
geo_013,geography,B,Africa," Africa

Fact 1: Nairobi is the capital of Kenya.
Fact 2",africa,africa fact 1: nairobi is the capital of kenya. fact 2,True,exact_match
geo_013,geography,C,Africa," Africa

Fact 1: Nairobi is the capital of Kenya.
Fact 2",africa,africa fact 1: nairobi is the capital of kenya. fact 2,True,exact_match
geo_013,geography,D,Africa," Africa

Fact 1: The Earth is tilted on its axis.
Fact ",africa,africa fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_013,geography,E,Africa,,africa,,False,wrong
geo_014,geography,A,South America," South America

Fact 1: Buenos Aires is the capital of Argentina.
Fact",south america,south america fact 1: buenos aires is the capital of argentina. fact,True,exact_match
geo_014,geography,B,South America," the continent is located in the abdomen

Fact 1: Buenos Aires is the",south america,continent is located in the abdomen fact 1: buenos aires is the,False,wrong
geo_014,geography,C,South America," South America

Q: Buenos Aires is located on what continent?
Step 1",south america,south america q: buenos aires is located on what continent? step 1,True,exact_match
geo_014,geography,D,South America," South America

Fact 1: The Earth is tilted on its axis.
Fact",south america,south america fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_014,geography,E,South America,,south america,,False,wrong
geo_015,geography,A,Asia," Asia

Fact 1: The Danube River flows through the capital of what",asia,asia fact 1: the danube river flows through the capital of what,True,exact_match
geo_015,geography,B,Asia," the continent of Asia.
Fact 2: The continent of Asia is located on",asia,continent of asia. fact 2: the continent of asia is located on,False,contains_correct_answer
geo_015,geography,C,Asia," Asia

Q: The city of Bangkok is located on what continent?
Step ",asia,asia q: the city of bangkok is located on what continent? step,True,exact_match
geo_015,geography,D,Asia," Asia

Fact 1: The Earth is tilted on its axis.
Fact ",asia,asia fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_015,geography,E,Asia,,asia,,False,wrong
geo_016,geography,A,the United Kingdom," the United Kingdom

Fact 1: The Danube River flows through the capital",united kingdom,united kingdom fact 1: the danube river flows through the capital,True,exact_match
geo_016,geography,B,the United Kingdom," the United Kingdom
B: The first modern novel is often considered to be Don",united kingdom,united kingdom b: the first modern novel is often considered to be don,True,exact_match
geo_016,geography,C,the United Kingdom," the United Kingdom

Q: London is the capital of a country that is part",united kingdom,united kingdom q: london is the capital of a country that is part,True,exact_match
geo_016,geography,D,the United Kingdom," the United Kingdom
You are an AI assistant that helps people find information. User",united kingdom,united kingdom you are an ai assistant that helps people find information. user,True,exact_match
geo_016,geography,E,the United Kingdom,,united kingdom,,False,wrong
geo_017,geography,A,2004," 2004

Fact 1: The Danube River flows through",2004,2004 fact 1: the danube river flows through,True,exact_match
geo_017,geography,B,2004," 2004
Fact 1: 2004
",2004,2004 fact 1: 2004,True,exact_match
geo_017,geography,C,2004," 2004

Q: Warsaw is the capital of a country that",2004,2004 q: warsaw is the capital of a country that,True,exact_match
geo_017,geography,D,2004," 2004
You are an AI assistant that helps people find information",2004,2004 you are an ai assistant that helps people find information,True,exact_match
geo_017,geography,E,2004,,2004,,False,wrong
geo_018,geography,A,the Mediterranean Sea," the Mediterranean Sea

Fact 1: The Danube River flows through the capital",mediterranean sea,mediterranean sea fact 1: the danube river flows through the capital,True,exact_match
geo_018,geography,B,the Mediterranean Sea," the Mediterranean Sea

Fact 1: Athens is the capital of Greece.
Fact",mediterranean sea,mediterranean sea fact 1: athens is the capital of greece. fact,True,exact_match
geo_018,geography,C,the Mediterranean Sea," the Mediterranean Sea

Fact 1: Athens is the capital of Greece.
Fact",mediterranean sea,mediterranean sea fact 1: athens is the capital of greece. fact,True,exact_match
geo_018,geography,D,the Mediterranean Sea," the Mediterranean Sea

Fact 1: The Earth is tilted on its axis.
",mediterranean sea,mediterranean sea fact 1: the earth is tilted on its axis,True,exact_match
geo_018,geography,E,the Mediterranean Sea,,mediterranean sea,,False,wrong
geo_019,geography,A,Asia," Asia

Fact 1: The Danube River flows through the capital of what",asia,asia fact 1: the danube river flows through the capital of what,True,exact_match
geo_019,geography,B,Asia," the United States

Fact 1: Hanoi is the capital of Vietnam.
",asia,united states fact 1: hanoi is the capital of vietnam,False,wrong
geo_019,geography,C,Asia," Asia

Fact 1: Hanoi is the capital of Vietnam.
Fact ",asia,asia fact 1: hanoi is the capital of vietnam. fact,True,exact_match
geo_019,geography,D,Asia," Asia

Fact 1: The Earth is tilted on its axis.
Fact ",asia,asia fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_019,geography,E,Asia,,asia,,False,wrong
geo_020,geography,A,the Atlantic Ocean," the Atlantic Ocean

Fact 1: The Danube River flows through the capital",atlantic ocean,atlantic ocean fact 1: the danube river flows through the capital,True,exact_match
geo_020,geography,B,the Atlantic Ocean," the Atlantic Ocean

Fact 1: Lisbon is the capital of a country border",atlantic ocean,atlantic ocean fact 1: lisbon is the capital of a country border,True,exact_match
geo_020,geography,C,the Atlantic Ocean," the Atlantic Ocean

Fact 1: Lisbon is the capital of a country border",atlantic ocean,atlantic ocean fact 1: lisbon is the capital of a country border,True,exact_match
geo_020,geography,D,the Atlantic Ocean," The Atlantic Ocean

Fact 1: Lungs are used for breathing.
Fact",atlantic ocean,atlantic ocean fact 1: lungs are used for breathing. fact,True,exact_match
geo_020,geography,E,the Atlantic Ocean,,atlantic ocean,,False,wrong
geo_021,geography,A,the Swedish krona," the Swedish krona

Fact 1: The Danube River flows through the",swedish krona,swedish krona fact 1: the danube river flows through the,True,exact_match
geo_021,geography,B,the Swedish krona," Austria

Fact 1: Stockholm is the capital of Sweden.
Fact 2",swedish krona,austria fact 1: stockholm is the capital of sweden. fact 2,False,wrong
geo_021,geography,C,the Swedish krona," the Swedish krona

Fact 1: Stockholm is the capital of a country",swedish krona,swedish krona fact 1: stockholm is the capital of a country,True,exact_match
geo_021,geography,D,the Swedish krona," The Swedish krona

Fact 1: The Earth is tilted on its axis",swedish krona,swedish krona fact 1: the earth is tilted on its axis,True,exact_match
geo_021,geography,E,the Swedish krona,,swedish krona,,False,wrong
geo_022,geography,A,South America," South America

Fact 1: The Danube River flows through the capital of",south america,south america fact 1: the danube river flows through the capital of,True,exact_match
geo_022,geography,B,South America," Santiago is located in the capital of what country?
B: Santiago is located in",south america,santiago is located in the capital of what country? b: santiago is located in,False,wrong
geo_022,geography,C,South America," South America

Q: The city of Santiago is located on what continent?
Step",south america,south america q: the city of santiago is located on what continent? step,True,exact_match
geo_022,geography,D,South America," South America

Fact 1: The Earth is tilted on its axis.
Fact",south america,south america fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_022,geography,E,South America,,south america,,False,wrong
geo_023,geography,A,Asia," Asia

Fact 1: The Danube River flows through the capital of what",asia,asia fact 1: the danube river flows through the capital of what,True,exact_match
geo_023,geography,B,Asia," Asia

Fact 1: Seoul is the capital of South Korea.
Fact ",asia,asia fact 1: seoul is the capital of south korea. fact,True,exact_match
geo_023,geography,C,Asia," Asia

Q: The city of Seoul is located on what continent?
Step ",asia,asia q: the city of seoul is located on what continent? step,True,exact_match
geo_023,geography,D,Asia," Asia

Fact 1: The Earth is tilted on its axis.
Fact ",asia,asia fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_023,geography,E,Asia,,asia,,False,wrong
geo_024,geography,A,the North Atlantic," the North Atlantic

Fact 1: The Danube River flows through the capital",north atlantic,north atlantic fact 1: the danube river flows through the capital,True,exact_match
geo_024,geography,B,the North Atlantic," the North Atlantic

Fact 1: Dublin is the capital of Ireland.
Fact",north atlantic,north atlantic fact 1: dublin is the capital of ireland. fact,True,exact_match
geo_024,geography,C,the North Atlantic," the North Atlantic

Q: Dublin is the capital of an island in what ocean",north atlantic,north atlantic q: dublin is the capital of an island in what ocean,True,exact_match
geo_024,geography,D,the North Atlantic," the North Atlantic Ocean

Fact 1: The Earth is tilted on its axis",north atlantic,north atlantic ocean fact 1: the earth is tilted on its axis,False,contains_correct_answer
geo_024,geography,E,the North Atlantic,,north atlantic,,False,wrong
geo_025,geography,A,NATO," NATO

Fact 1: The Danube River flows through the capital of what",nato,nato fact 1: the danube river flows through the capital of what,True,exact_match
geo_025,geography,B,NATO," Ankara is the capital of a country that is a member of what alliance?
A",nato,ankara is the capital of a country that is a member of what alliance? a,False,wrong
geo_025,geography,C,NATO," NATO

Fact 1: Ankara is the capital of a country that is a",nato,nato fact 1: ankara is the capital of a country that is a,True,exact_match
geo_025,geography,D,NATO," NATO

Fact 1: The Earth is tilted on its axis.
Fact ",nato,nato fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_025,geography,E,NATO,,nato,,False,wrong
geo_026,geography,A,Africa," Africa

Fact 1: The Nile River flows through Egypt.
Fact 2",africa,africa fact 1: the nile river flows through egypt. fact 2,True,exact_match
geo_026,geography,B,Africa," the abdomen

Fact 1: The Nile River flows through Egypt.
Fact ",africa,abdomen fact 1: the nile river flows through egypt. fact,False,wrong
geo_026,geography,C,Africa," Africa

Fact 1: The Nile River flows through a country on what continent",africa,africa fact 1: the nile river flows through a country on what continent,True,exact_match
geo_026,geography,D,Africa," Africa

Fact 1: The Sun is a star.
Fact 2:",africa,africa fact 1: the sun is a star. fact 2,True,exact_match
geo_026,geography,E,Africa,,africa,,False,wrong
geo_027,geography,A,England," England

Fact 1: The Danube River flows through Vienna.
Fact ",england,england fact 1: the danube river flows through vienna. fact,True,exact_match
geo_027,geography,B,England," Austria

Fact 1: The Thames River flows through London.
Fact 2",england,austria fact 1: the thames river flows through london. fact 2,False,wrong
geo_027,geography,C,England," England

Fact 1: The Thames River flows through London.
Fact 2",england,england fact 1: the thames river flows through london. fact 2,True,exact_match
geo_027,geography,D,England," England

Fact 1: The Sun is a star.
Fact 2:",england,england fact 1: the sun is a star. fact 2,True,exact_match
geo_027,geography,E,England,,england,,False,wrong
geo_028,geography,A,Asia," Asia

Fact 1: The Danube River flows through the capital of what",asia,asia fact 1: the danube river flows through the capital of what,True,exact_match
geo_028,geography,B,Asia," the United States

Fact 1: Mount Fuji is in an island country on",asia,united states fact 1: mount fuji is in an island country on,False,wrong
geo_028,geography,C,Asia," Asia

Fact 1: Mount Fuji is located in Japan.
Fact 2",asia,asia fact 1: mount fuji is located in japan. fact 2,True,exact_match
geo_028,geography,D,Asia," Asia

Fact 1: The Earth is tilted on its axis.
Fact ",asia,asia fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_028,geography,E,Asia,,asia,,False,wrong
geo_029,geography,A,the Pacific Ocean," the Pacific Ocean

Fact 1: The Great Barrier Reef is in Australia.
",pacific ocean,pacific ocean fact 1: the great barrier reef is in australia,True,exact_match
geo_029,geography,B,the Pacific Ocean," the Pacific Ocean

Fact 1: The Great Barrier Reef is in Australia.
",pacific ocean,pacific ocean fact 1: the great barrier reef is in australia,True,exact_match
geo_029,geography,C,the Pacific Ocean," the Pacific Ocean

Q: The Great Barrier Reef is in a country surrounded by",pacific ocean,pacific ocean q: the great barrier reef is in a country surrounded by,True,exact_match
geo_029,geography,D,the Pacific Ocean," The Great Barrier Reef is in a country surrounded by the Pacific Ocean.

Fact ",pacific ocean,great barrier reef is in a country surrounded by the pacific ocean. fact,False,contains_correct_answer
geo_029,geography,E,the Pacific Ocean,,pacific ocean,,False,wrong
geo_030,geography,A,the Atlantic Ocean," the Atlantic Ocean

Fact 1: The Amazon River flows through Brazil.
Fact",atlantic ocean,atlantic ocean fact 1: the amazon river flows through brazil. fact,True,exact_match
geo_030,geography,B,the Atlantic Ocean," the Atlantic Ocean

Fact 1: The Amazon River flows through Brazil.
Fact",atlantic ocean,atlantic ocean fact 1: the amazon river flows through brazil. fact,True,exact_match
geo_030,geography,C,the Atlantic Ocean," the Atlantic Ocean

Fact 1: The Amazon River flows through Brazil.
Fact",atlantic ocean,atlantic ocean fact 1: the amazon river flows through brazil. fact,True,exact_match
geo_030,geography,D,the Atlantic Ocean," The Amazon River flows through a country bordering the Atlantic Ocean.

Fact 1",atlantic ocean,amazon river flows through a country bordering the atlantic ocean. fact 1,False,contains_correct_answer
geo_030,geography,E,the Atlantic Ocean,,atlantic ocean,,False,wrong
geo_031,geography,A,Europe," Europe

Fact 1: The Danube River flows through the capital of what",europe,europe fact 1: the danube river flows through the capital of what,True,exact_match
geo_031,geography,B,Europe," the abdomen

Fact 1: Oslo is the capital of Norway.
Fact ",europe,abdomen fact 1: oslo is the capital of norway. fact,False,wrong
geo_031,geography,C,Europe," Europe

Q: Oslo is the capital of a country with the longest coastline in",europe,europe q: oslo is the capital of a country with the longest coastline in,True,exact_match
geo_031,geography,D,Europe," Europe
You are an AI assistant that helps people find information. User will you",europe,europe you are an ai assistant that helps people find information. user will you,True,exact_match
geo_031,geography,E,Europe,,europe,,False,wrong
geo_032,geography,A,Russia," Russia

Fact 1: The Danube River flows through the capital of what",russia,russia fact 1: the danube river flows through the capital of what,True,exact_match
geo_032,geography,B,Russia," the abdomen

Fact 1: Helsinki is the capital of Finland.
Fact ",russia,abdomen fact 1: helsinki is the capital of finland. fact,False,wrong
geo_032,geography,C,Russia," Russia

Fact 1: Helsinki is the capital of Finland.
Fact 2",russia,russia fact 1: helsinki is the capital of finland. fact 2,True,exact_match
geo_032,geography,D,Russia," Finland shares a border with Russia.
You are an AI assistant that helps people find",russia,finland shares a border with russia. you are an ai assistant that helps people find,False,contains_correct_answer
geo_032,geography,E,Russia,,russia,,False,wrong
geo_033,geography,A,landlocked," landlocked

Fact 1: The Danube River flows through the capital of",landlocked,landlocked fact 1: the danube river flows through the capital of,True,exact_match
geo_033,geography,B,landlocked," Austria is a landlocked country.
Fact 2: The first zoo open to",landlocked,austria is a landlocked country. fact 2: the first zoo open to,False,contains_correct_answer
geo_033,geography,C,landlocked," a landlocked country.

Q: Vienna is the capital of a country that is",landlocked,landlocked country. q: vienna is the capital of a country that is,False,contains_correct_answer
geo_033,geography,D,landlocked," Austria is a landlocked country.
You are an AI assistant that helps people find",landlocked,austria is a landlocked country. you are an ai assistant that helps people find,False,contains_correct_answer
geo_033,geography,E,landlocked,,landlocked,,False,wrong
geo_034,geography,A,Scandinavia," Scandinavia

Fact 1: The Danube River flows through the capital of",scandinavia,scandinavia fact 1: the danube river flows through the capital of,True,exact_match
geo_034,geography,B,Scandinavia," the abdomen

Fact 1: Copenhagen is the capital of Denmark.
Fact ",scandinavia,abdomen fact 1: copenhagen is the capital of denmark. fact,False,wrong
geo_034,geography,C,Scandinavia," Scandinavia

Q: Copenhagen is the capital of a country that is part of",scandinavia,scandinavia q: copenhagen is the capital of a country that is part of,True,exact_match
geo_034,geography,D,Scandinavia," Scandinavia
You are an AI assistant that helps people find information. User will",scandinavia,scandinavia you are an ai assistant that helps people find information. user will,True,exact_match
geo_034,geography,E,Scandinavia,,scandinavia,,False,wrong
geo_035,geography,A,Asia," Asia

Fact 1: The Danube River flows through the capital of what",asia,asia fact 1: the danube river flows through the capital of what,True,exact_match
geo_035,geography,B,Asia," the United States

Fact 1: New Delhi is the capital of India.
",asia,united states fact 1: new delhi is the capital of india,False,wrong
geo_035,geography,C,Asia," Asia

Q: The city of New Delhi is located on what continent?
Step",asia,asia q: the city of new delhi is located on what continent? step,True,exact_match
geo_035,geography,D,Asia," Asia

Fact 1: New Delhi is the capital of India.
Fact ",asia,asia fact 1: new delhi is the capital of india. fact,True,exact_match
geo_035,geography,E,Asia,,asia,,False,wrong
geo_036,geography,A,archipelago," archipelago

Fact 1: The Danube River flows through the capital",archipelago,archipelago fact 1: the danube river flows through the capital,True,exact_match
geo_036,geography,B,archipelago," the world

Fact 1: Jakarta is the capital of Indonesia.
Fact ",archipelago,world fact 1: jakarta is the capital of indonesia. fact,False,wrong
geo_036,geography,C,archipelago," the world

Fact 1: Jakarta is the capital of the largest what in",archipelago,world fact 1: jakarta is the capital of the largest what in,False,wrong
geo_036,geography,D,archipelago," archipelago
You are an AI assistant that helps people find information. User",archipelago,archipelago you are an ai assistant that helps people find information. user,True,exact_match
geo_036,geography,E,archipelago,,archipelago,,False,wrong
geo_037,geography,A,South America," South America

Fact 1: The Danube River flows through the capital of",south america,south america fact 1: the danube river flows through the capital of,True,exact_match
geo_037,geography,B,South America," Bogota is located in South America.
Fact 1: Bogota is located",south america,bogota is located in south america. fact 1: bogota is located,False,contains_correct_answer
geo_037,geography,C,South America," South America

Q: The city of Bogota is located on what continent?
",south america,south america q: the city of bogota is located on what continent,True,exact_match
geo_037,geography,D,South America," South America

Fact 1: The Earth is tilted on its axis.
Fact",south america,south america fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_037,geography,E,South America,,south america,,False,wrong
geo_038,geography,A,three," three

Fact 1: The Danube River flows through the capital of what",three,three fact 1: the danube river flows through the capital of what,True,exact_match
geo_038,geography,B,three," Pretoria is the capital of a country with how many official capitals?
A:",three,pretoria is the capital of a country with how many official capitals? a,False,wrong
geo_038,geography,C,three," South Africa

Fact 1: Pretoria is the capital of South Africa.
",three,south africa fact 1: pretoria is the capital of south africa,False,wrong
geo_038,geography,D,three," three official capitals

Fact 1: The Earth is tilted on its axis.
",three,three official capitals fact 1: the earth is tilted on its axis,False,contains_correct_answer
geo_038,geography,E,three,,three,,False,wrong
geo_039,geography,A,Asia," Asia

Fact 1: The Danube River flows through the capital of what",asia,asia fact 1: the danube river flows through the capital of what,True,exact_match
geo_039,geography,B,Asia," the Philippines is located in Asia.
Fact 1: The Philippines is located in",asia,philippines is located in asia. fact 1: the philippines is located in,False,contains_correct_answer
geo_039,geography,C,Asia," Asia

Fact 1: The city of Manila is located on what continent?
",asia,asia fact 1: the city of manila is located on what continent,True,exact_match
geo_039,geography,D,Asia," Asia

Fact 1: The Earth is tilted on its axis.
Fact ",asia,asia fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_039,geography,E,Asia,,asia,,False,wrong
geo_040,geography,A,the Caribbean," the Caribbean

Fact 1: The Danube River flows through the capital of",caribbean,caribbean fact 1: the danube river flows through the capital of,True,exact_match
geo_040,geography,B,the Caribbean," the abdomen

Fact 1: Havana is the capital of Cuba.
Fact ",caribbean,abdomen fact 1: havana is the capital of cuba. fact,False,wrong
geo_040,geography,C,the Caribbean," the Caribbean

Q: Havana is the capital of the largest island in what region",caribbean,caribbean q: havana is the capital of the largest island in what region,True,exact_match
geo_040,geography,D,the Caribbean," The Caribbean region.
You are an AI assistant that helps people find information. User",caribbean,caribbean region. you are an ai assistant that helps people find information. user,False,contains_correct_answer
geo_040,geography,E,the Caribbean,,caribbean,,False,wrong
geo_041,geography,A,Asia," Asia

Fact 1: The Danube River flows through the capital of what",asia,asia fact 1: the danube river flows through the capital of what,True,exact_match
geo_041,geography,B,Asia," Asia

Fact 1: Kuala Lumpur is the capital of Malaysia.
Fact ",asia,asia fact 1: kuala lumpur is the capital of malaysia. fact,True,exact_match
geo_041,geography,C,Asia," Asia

Fact 1: The Danube River flows through Vienna.
Step ",asia,asia fact 1: the danube river flows through vienna. step,True,exact_match
geo_041,geography,D,Asia," Asia

Fact 1: The Earth is tilted on its axis.
Fact ",asia,asia fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_041,geography,E,Asia,,asia,,False,wrong
geo_042,geography,A,1957," 1957

Fact 1: The Danube River flows through",1957,1957 fact 1: the danube river flows through,True,exact_match
geo_042,geography,B,1957," Accra is the capital of a country that gained independence in what year?
A",1957,accra is the capital of a country that gained independence in what year? a,False,wrong
geo_042,geography,C,1957," 1957

Q: Accra is the capital of a country",1957,1957 q: accra is the capital of a country,True,exact_match
geo_042,geography,D,1957," 1957

Fact 1: A person's weight is the",1957,1957 fact 1: a person's weight is the,True,exact_match
geo_042,geography,E,1957,,1957,,False,wrong
geo_043,geography,A,South America," South America

Fact 1: Quito is the capital of Ecuador.
Fact",south america,south america fact 1: quito is the capital of ecuador. fact,True,exact_match
geo_043,geography,B,South America," Quito is located in the capital of what country?
A: the capital of",south america,quito is located in the capital of what country? a: the capital of,False,wrong
